text_id,gpt3_text_annotation,gpt3_confidence_score,gpt3_entities_found,gpt3_wiki_pages_found,gpt3_matched,gpt3_total,gpt3_percent_matched,gpt3_average_highest,wiki_confidence_score,wiki_entities_found,wiki_wiki_pages_found,wiki_matched,wiki_total,wiki_percent_matched,wiki_average_highest
68,major_inaccurate,10.41,26,25,1,9,11.11,0.097,84.58,44,38,12,14,85.71,0.8345
69,minor_inaccurate,45.59,19,18,5,10,50,0.4119,83.99,24,23,7,8,87.5,0.8048
70,accurate,73.19,26,26,8,10,80,0.6638,96.73,26,26,6,6,100,0.9346
71,minor_inaccurate,0,17,17,0,9,0,0,99.91,31,31,14,14,100,0.9982
72,accurate,43.56,28,26,4,8,50,0.3713,83.83,56,49,26,30,86.67,0.8098
73,accurate,38.85,14,13,3,7,42.86,0.3484,71,19,18,7,9,77.78,0.6423
74,minor_inaccurate,29.06,16,16,3,9,33.33,0.2478,99.58,33,33,14,14,100,0.9915
75,accurate,97.11,15,13,8,8,100,0.9421,87.57,23,20,10,11,90.91,0.8422
76,major_inaccurate,10,28,27,1,10,10,0.1,97.82,26,25,13,13,100,0.9563
77,major_inaccurate,12.21,22,22,1,7,14.29,0.1013,99.99,22,22,9,9,100,0.9998
78,accurate,58.16,20,20,5,8,62.5,0.5382,86.05,22,22,8,9,88.89,0.832
79,accurate,17.55,22,21,2,10,20,0.1509,97.95,34,34,15,15,100,0.9591
80,minor_inaccurate,0,23,22,0,6,0,0,8.68,31,30,1,10,10,0.0736
81,minor_inaccurate,52.67,13,13,3,5,60,0.4534,85.54,30,26,8,9,88.89,0.8219
82,minor_inaccurate,10.94,14,14,1,8,12.5,0.0937,94.96,24,23,8,8,100,0.8992
83,minor_inaccurate,30.99,13,13,2,6,33.33,0.2865,74.79,37,35,6,8,75,0.7458
84,minor_inaccurate,52.95,21,18,4,7,57.14,0.4876,95.54,27,23,5,5,100,0.9109
85,minor_inaccurate,73.06,11,11,4,5,80,0.6613,99.36,28,28,9,9,100,0.9873
86,minor_inaccurate,49.04,22,22,5,9,55.56,0.4252,49.24,23,23,5,9,55.56,0.4293
87,minor_inaccurate,90,20,19,5,5,100,0.8,48.43,32,31,5,9,55.56,0.4131
88,minor_inaccurate,68.7,17,16,6,8,75,0.624,68.32,11,10,6,8,75,0.6164
89,minor_inaccurate,43.59,14,14,3,6,50,0.3719,21.46,28,25,6,25,24,0.1891
90,major_inaccurate,63.14,19,18,5,7,71.43,0.5486,15.73,24,23,2,11,18.18,0.1328
91,minor_inaccurate,75.83,13,12,5,6,83.33,0.6832,48.24,22,22,5,9,55.56,0.4092
92,minor_inaccurate,62.55,18,16,7,10,70,0.5509,98.98,15,13,8,8,100,0.9796
93,accurate,34.01,20,20,3,8,37.5,0.3053,98.08,26,24,8,8,100,0.9616
94,accurate,17.23,8,6,1,5,20,0.1446,38.28,12,9,3,7,42.86,0.337
95,minor_inaccurate,71.84,19,19,7,9,77.78,0.659,86.45,13,12,7,8,87.5,0.8541
96,minor_inaccurate,10.8,21,21,1,8,12.5,0.091,95.46,31,30,7,7,100,0.9092
97,minor_inaccurate,0,21,21,0,6,0,0,0,14,14,0,5,0,0
98,minor_inaccurate,12.57,18,16,1,7,14.29,0.1086,8.58,25,24,1,10,10,0.0717
99,minor_inaccurate,10.72,20,19,1,8,12.5,0.0894,20.19,35,33,3,13,23.08,0.173
100,minor_inaccurate,8.57,15,15,1,11,9.09,0.0805,94.12,26,24,8,8,100,0.8823
101,minor_inaccurate,0,13,13,0,8,0,0,9.69,17,16,1,9,11.11,0.0827
102,minor_inaccurate,50.68,15,14,4,7,57.14,0.4422,98.97,47,43,17,17,100,0.9794
103,accurate,80.21,21,21,5,6,83.33,0.7708,99.52,26,26,6,6,100,0.9904
104,minor_inaccurate,14.68,9,9,1,6,16.67,0.1269,45.12,14,14,4,8,50,0.4023
105,accurate,84.45,23,21,10,11,90.91,0.7799,96.7,53,49,20,20,100,0.934
106,major_inaccurate,55.02,24,23,8,13,61.54,0.485,99.72,27,26,12,12,100,0.9944
107,accurate,57.75,16,15,5,8,62.5,0.5301,73.24,22,20,6,8,75,0.7149
108,accurate,55.3,14,13,3,5,60,0.5059,80.88,30,30,14,16,87.5,0.7425
109,accurate,56.64,23,23,3,5,60,0.5328,62.92,39,39,6,9,66.67,0.5918
110,accurate,31.24,13,12,3,9,33.33,0.2916,37.66,15,13,4,10,40,0.3533
111,minor_inaccurate,41.2,22,20,5,11,45.45,0.3695,83.91,27,21,9,10,90,0.7783
112,major_inaccurate,15.93,18,17,2,11,18.18,0.1369,99.88,36,31,12,12,100,0.9976
113,accurate,33.71,23,23,4,11,36.36,0.3106,99.7,27,27,7,7,100,0.9939
114,major_inaccurate,0,1,1,0,5,0,0,91.87,34,33,20,21,95.24,0.8849
115,major_inaccurate,21.94,17,13,2,8,25,0.1889,95.62,19,16,10,10,100,0.9124
116,minor_inaccurate,26.75,26,26,2,7,28.57,0.2493,78.24,31,31,5,6,83.33,0.7315
117,minor_inaccurate,0,17,17,0,6,0,0,0,33,31,0,12,0,0
118,accurate,60.11,19,18,5,8,62.5,0.5773,97.65,48,46,12,12,100,0.953
119,major_inaccurate,34.9,23,22,5,13,38.46,0.3133,70.31,30,30,8,11,72.73,0.6789
120,minor_inaccurate,41.12,24,23,5,11,45.45,0.3679,81.01,35,34,12,14,85.71,0.763
121,minor_inaccurate,79.34,27,24,7,8,87.5,0.7118,99.94,12,11,7,7,100,0.9989
122,minor_inaccurate,49.14,21,20,6,11,54.55,0.4373,99.51,39,36,12,12,100,0.9902
123,minor_inaccurate,32.41,27,25,4,11,36.36,0.2846,99.08,33,32,10,10,100,0.9815
124,minor_inaccurate,44.15,15,15,5,10,50,0.3831,98.97,28,27,10,10,100,0.9794
125,minor_inaccurate,0,15,15,0,9,0,0,98.89,20,18,9,9,100,0.9778
126,minor_inaccurate,46.93,25,24,7,13,53.85,0.4001,59.43,31,30,8,12,66.67,0.5218
127,accurate,39.7,19,18,3,7,42.86,0.3654,59.69,59,54,13,21,61.9,0.5747
128,accurate,34.12,16,16,3,8,37.5,0.3074,86.03,45,41,18,20,90,0.8206
129,minor_inaccurate,24.87,16,15,2,7,28.57,0.2117,99.69,16,15,6,6,100,0.9938
130,major_inaccurate,15.95,17,15,2,11,18.18,0.1371,93.03,24,23,9,9,100,0.8605
131,minor_inaccurate,16.17,21,20,2,11,18.18,0.1416,96.32,32,31,12,12,100,0.9264
132,minor_inaccurate,89.4,11,10,4,4,100,0.7879,71.1,9,9,5,7,71.43,0.7078
133,minor_inaccurate,10.19,18,18,1,9,11.11,0.0928,96.13,45,44,12,12,100,0.9227
134,major_inaccurate,33.38,19,19,5,14,35.71,0.3105,8.25,19,19,1,11,9.09,0.0741
135,accurate,90.17,15,14,4,4,100,0.8033,69.94,34,33,10,13,76.92,0.6296
136,accurate,89.93,15,13,6,6,100,0.7987,48.76,28,27,6,11,54.55,0.4298
137,minor_inaccurate,78.84,28,28,7,8,87.5,0.7019,98.08,18,18,9,9,100,0.9616
138,minor_inaccurate,18.14,22,21,2,10,20,0.1627,22.7,59,56,5,19,26.32,0.1909
139,accurate,39.03,34,32,2,5,40,0.3805,33.49,59,55,4,11,36.36,0.3061
140,accurate,19.74,19,19,1,5,20,0.1947,51.11,37,36,4,7,57.14,0.4508
141,minor_inaccurate,51.08,13,13,4,7,57.14,0.4501,97.44,17,16,8,8,100,0.9488
142,minor_inaccurate,15.42,20,20,1,6,16.67,0.1417,99.29,22,19,9,9,100,0.9858
143,accurate,76.2,28,26,5,6,83.33,0.6907,95.27,28,25,8,8,100,0.9053
144,minor_inaccurate,51.53,21,19,4,7,57.14,0.4593,35.11,26,26,4,10,40,0.3023
145,minor_inaccurate,38.22,15,14,3,7,42.86,0.3359,99.83,28,27,7,7,100,0.9966
146,minor_inaccurate,0,13,13,0,5,0,0,89.41,31,29,11,12,91.67,0.8716
147,accurate,68.42,20,20,6,8,75,0.6184,69.43,29,24,6,8,75,0.6387
148,minor_inaccurate,23.17,19,19,2,8,25,0.2133,65.62,25,25,6,9,66.67,0.6458
149,accurate,42.07,18,16,5,11,45.45,0.3869,73.41,36,34,6,8,75,0.7183
150,minor_inaccurate,7.22,14,13,1,12,8.33,0.0611,99.98,28,25,8,8,100,0.9996
151,minor_inaccurate,0,20,20,0,6,0,0,9.47,19,17,1,9,11.11,0.0782
152,accurate,53.24,11,11,4,7,57.14,0.4935,99.29,24,22,16,16,100,0.9857
153,major_inaccurate,13.76,15,15,2,13,15.38,0.1213,49.07,38,37,7,13,53.85,0.443
154,minor_inaccurate,50.62,27,27,5,9,55.56,0.4568,45.83,19,16,4,8,50,0.4167
155,major_inaccurate,8.81,20,20,1,10,10,0.0761,62.23,68,65,20,31,64.52,0.5993
156,accurate,17.29,18,17,2,11,18.18,0.1639,88.51,19,16,10,11,90.91,0.8611
157,minor_inaccurate,32.92,22,21,4,11,36.36,0.2948,65.91,19,18,4,6,66.67,0.6515
158,minor_inaccurate,34.87,19,18,4,10,40,0.2975,29.27,18,18,3,9,33.33,0.2522
159,minor_inaccurate,92.45,16,16,5,5,100,0.8489,98.78,25,25,5,5,100,0.9756
160,minor_inaccurate,27.01,23,23,3,10,30,0.2403,91.03,66,63,17,18,94.44,0.8761
161,minor_inaccurate,92,21,20,5,5,100,0.84,99.77,20,18,7,7,100,0.9954
162,minor_inaccurate,0,18,17,0,5,0,0,99.96,30,29,8,8,100,0.9992
163,minor_inaccurate,89.69,19,19,11,11,100,0.7937,94.82,29,28,14,14,100,0.8964
164,minor_inaccurate,44.51,24,23,4,8,50,0.3902,49.44,56,54,11,21,52.38,0.465
165,accurate,32.85,13,13,3,8,37.5,0.282,97,16,14,6,6,100,0.94
166,major_inaccurate,19.14,23,22,2,9,22.22,0.1606,64.49,66,65,27,38,71.05,0.5793
167,accurate,52.16,9,8,4,7,57.14,0.4718,95.4,18,16,7,7,100,0.9079
168,major_inaccurate,9.62,14,14,1,9,11.11,0.0812,68.49,59,54,9,13,69.23,0.6776
169,major_inaccurate,11.17,13,12,1,8,12.5,0.0984,98.83,32,32,11,11,100,0.9766
170,accurate,81.12,19,18,7,8,87.5,0.7474,81.46,21,19,13,15,86.67,0.7625
171,minor_inaccurate,47.85,24,23,4,8,50,0.4569,93.18,20,20,8,8,100,0.8635
172,accurate,0,6,6,0,5,0,0,12.21,24,24,1,7,14.29,0.1014
173,minor_inaccurate,88.67,13,12,4,4,100,0.7734,87.16,19,18,9,10,90,0.8433
174,minor_inaccurate,63.74,16,14,5,7,71.43,0.5606,55.48,23,22,6,10,60,0.5096
175,accurate,81.45,15,13,8,9,88.89,0.7402,94.09,29,28,7,7,100,0.8817
176,accurate,92.51,9,9,7,7,100,0.8502,94.57,20,18,8,8,100,0.8914
177,accurate,97.46,16,15,6,6,100,0.9493,97.12,23,22,12,12,100,0.9423
178,accurate,42.83,22,21,6,13,46.15,0.3951,17.21,35,32,3,15,20,0.1443
179,minor_inaccurate,54,22,21,3,5,60,0.4799,91.29,38,38,14,15,93.33,0.8925
180,minor_inaccurate,61.94,28,28,7,10,70,0.5389,81.5,26,25,12,14,85.71,0.7728
181,major_inaccurate,26.81,20,17,4,13,30.77,0.2285,99.68,23,21,9,9,100,0.9936
182,minor_inaccurate,54.75,12,10,3,5,60,0.4949,87.52,93,84,11,12,91.67,0.8338
183,accurate,67.67,13,11,5,7,71.43,0.639,84,13,12,8,9,88.89,0.7911
184,major_inaccurate,16,20,19,1,6,16.67,0.1534,97.89,32,28,12,12,100,0.9577
185,major_inaccurate,9.19,22,21,1,10,10,0.0837,99.75,28,27,9,9,100,0.9951
186,minor_inaccurate,29.91,10,10,3,9,33.33,0.2649,88.71,21,21,13,14,92.86,0.8456
187,minor_inaccurate,32.33,27,27,3,8,37.5,0.2716,70.58,58,57,12,16,75,0.6617
188,minor_inaccurate,58.16,23,22,7,11,63.64,0.5269,42.22,22,22,4,9,44.44,0.3999
189,accurate,70.71,18,18,8,10,80,0.6142,97.56,18,18,14,14,100,0.9512
190,minor_inaccurate,17.13,13,13,1,5,20,0.1426,99.01,25,24,9,9,100,0.9801
191,minor_inaccurate,39.88,15,13,3,7,42.86,0.3689,99.55,19,15,8,8,100,0.991
192,minor_inaccurate,18.85,19,19,2,10,20,0.177,99.51,29,29,10,10,100,0.9902
193,minor_inaccurate,43.7,21,21,4,8,50,0.374,69.73,41,38,11,15,73.33,0.6613
194,minor_inaccurate,70.69,15,15,7,9,77.78,0.636,80.83,25,25,7,8,87.5,0.7417
195,minor_inaccurate,60.17,28,28,4,6,66.67,0.5367,98.08,60,52,25,25,100,0.9616
196,major_inaccurate,57.75,16,16,5,8,62.5,0.53,86.84,28,26,15,17,88.24,0.8545
197,minor_inaccurate,44.88,16,16,4,8,50,0.3976,94.61,29,27,12,12,100,0.8921
198,accurate,47.41,13,11,2,4,50,0.4483,96.92,21,20,5,5,100,0.9385
199,accurate,52.44,19,19,7,12,58.33,0.4655,65.79,19,18,4,6,66.67,0.6492
200,accurate,10.49,15,15,1,9,11.11,0.0987,99.87,25,23,12,12,100,0.9974
201,accurate,0,23,23,0,8,0,0,8.68,27,26,1,10,10,0.0736
202,accurate,92.68,25,24,7,7,100,0.8536,81.8,29,27,8,9,88.89,0.7472
203,minor_inaccurate,27.96,17,17,3,10,30,0.2593,98.68,47,44,23,23,100,0.9736
204,accurate,45.9,29,27,5,10,50,0.418,46.33,20,19,4,8,50,0.4266
205,major_inaccurate,0,10,9,0,8,0,0,69.18,56,48,17,24,70.83,0.6752
206,accurate,49.5,12,12,4,8,50,0.4899,97.34,20,18,12,12,100,0.9467
207,minor_inaccurate,44.74,26,26,5,10,50,0.3949,88.24,30,30,8,9,88.89,0.8759
208,minor_inaccurate,17.67,14,13,1,5,20,0.1533,0,12,11,0,10,0,0
209,major_inaccurate,43.78,17,15,5,10,50,0.3757,87.72,45,42,20,22,90.91,0.8454
210,minor_inaccurate,23.18,22,22,2,8,25,0.2135,99.95,38,37,16,16,100,0.999
211,minor_inaccurate,10.04,21,20,1,9,11.11,0.0898,30.5,28,28,3,9,33.33,0.2767
212,minor_inaccurate,44.59,10,10,4,8,50,0.3918,99.42,14,13,9,9,100,0.9884
213,accurate,78.26,12,11,7,8,87.5,0.6903,99.78,25,23,5,5,100,0.9957
214,accurate,0,12,11,0,7,0,0,34.67,27,27,5,13,38.46,0.3089
215,accurate,69.8,28,26,10,13,76.92,0.6269,98.65,26,24,7,7,100,0.973
216,minor_inaccurate,37.62,11,11,2,5,40,0.3524,56.9,53,49,13,22,59.09,0.5471
217,minor_inaccurate,41.11,26,24,5,11,45.45,0.3677,79.61,31,27,12,14,85.71,0.7351
218,minor_inaccurate,11.02,11,11,1,8,12.5,0.0954,80.77,25,23,6,7,85.71,0.7582
219,major_inaccurate,7.69,21,21,1,13,7.69,0.0769,62.92,44,44,14,20,70,0.5583
220,accurate,52.07,16,16,7,12,58.33,0.458,97.83,23,23,10,10,100,0.9567
221,accurate,97.95,12,11,5,5,100,0.9591,98.38,17,15,8,8,100,0.9676
222,minor_inaccurate,38.1,28,24,5,12,41.67,0.3453,81.84,18,16,5,6,83.33,0.8035
223,accurate,19.4,18,18,2,9,22.22,0.1658,99.46,25,25,8,8,100,0.9891
224,minor_inaccurate,73.61,26,25,9,11,81.82,0.6541,82.29,41,40,19,22,86.36,0.7821
225,accurate,66.92,9,9,5,7,71.43,0.6241,94.63,18,18,10,10,100,0.8925
226,accurate,74.42,19,15,4,5,80,0.6884,99.54,22,21,10,10,100,0.9908
227,minor_inaccurate,65,22,21,7,10,70,0.6,47.56,25,24,4,8,50,0.4513
228,minor_inaccurate,23.52,16,14,2,8,25,0.2205,99.49,25,21,10,10,100,0.9897
229,minor_inaccurate,45.39,22,20,5,10,50,0.4079,96.49,31,31,16,16,100,0.9298
230,major_inaccurate,0,13,12,0,9,0,0,99.3,46,35,17,17,100,0.986
231,minor_inaccurate,19.55,18,17,2,9,22.22,0.1688,84.15,32,30,7,8,87.5,0.8079
232,minor_inaccurate,59.37,16,16,4,6,66.67,0.5207,98.65,34,33,10,10,100,0.973
233,accurate,39.4,17,17,4,9,44.44,0.3435,98.1,67,64,12,12,100,0.962
234,minor_inaccurate,38.43,13,13,3,7,42.86,0.34,99.58,34,30,22,22,100,0.9917
235,accurate,73.15,6,6,4,5,80,0.663,99.24,45,45,18,18,100,0.9849
236,minor_inaccurate,58.22,31,30,8,12,66.67,0.4978,98.96,21,20,14,14,100,0.9792
237,major_inaccurate,8.98,15,15,1,10,10,0.0797,92.1,56,53,23,24,95.83,0.8836
238,minor_inaccurate,13.39,23,21,2,13,15.38,0.1139,97.01,32,31,9,9,100,0.9403
